GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
csc335-final-project,csc335.app.models,Report,119,0,8,0,29,0,15,0,11,0
csc335-final-project,csc335.app.models,Budget,98,0,4,0,25,0,13,0,11,0
csc335-final-project,csc335.app.models,Category,82,0,2,0,12,0,4,0,3,0
csc335-final-project,csc335.app.models,Expense,71,0,0,0,20,0,11,0,11,0
csc335-final-project,csc335.app.models,User,392,0,26,0,81,0,32,0,19,0
csc335-final-project,csc335.app,UserSessionManager,11,0,0,0,6,0,4,0,4,0
csc335-final-project,csc335.app,UserAuth,9,47,1,5,4,9,2,3,1,1
csc335-final-project,csc335.app,TextUIModel,54,0,0,0,18,0,7,0,7,0
csc335-final-project,csc335.app,App,35,0,0,0,11,0,3,0,3,0
csc335-final-project,csc335.app,FileIOManager,486,0,35,0,102,0,25,0,6,0
csc335-final-project,csc335.app.controllers,AuthController,284,0,28,0,81,0,25,0,11,0
csc335-final-project,csc335.app.controllers,DashboardController,17,0,0,0,4,0,2,0,2,0
